title_company;content;thumbnail;adr_title;adr_url;adr_target;about_company;related_companies;tags;boss;payments;services_list;additional_information;seo;gallery;news;contacts_fax;contacts_phone;contacts_comment-to-phone;emails-group_email;emails-group_comment-to-email;connectivity_options_options_list;connectivity_options_comment-to-option;links_link;social_links_social_link;social_links_social_lists
Світ кераміки (Специализированный салон);"САНТЕХНИКА, КАФЕЛЬНАЯ ПЛИТКА
Испания,Италия,Польша,Чехия и СНГ
для внутренних и фасадных работ
ОГРОМНЫЙ ВЫБОР";https://24city.cn.ua/wp-content/uploads/2020/07/th_file_5ec28f45b1b8d.jpg;14000, г. Чернигов, ул. Независимости, 15;https://goo.gl/maps/T2UwHEeTffibHFWv7;;"САНТЕХНИКА, КАФЕЛЬНАЯ ПЛИТКА
Испания,Италия,Польша,Чехия и СНГ
для внутренних и фасадных работ
ОГРОМНЫЙ ВЫБОР";;;;;"Индивидуальные заказы по каталогам
консультации дизайнеров и строителей
бесплатная доставка";"Искусство гипс декора.

-Изготовление и установка гипсовых изделий внутри и на фасадах зданий по индивидуальным заказам
-Продажа полиуретановых изделий
-Декоративные покрития
-Консультации дизайнеров и мастеров
-Бесплатная доставка";;;;;;;;;;;;;
Будівельно-господарчий маркет;"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Цемент 400, 500
Пінопласт
Фарби
Цвяхи, метизи, болти та гайки
Сантехніка
Автозапчастини та автофарби
Автомасла в асортименті
Кабель (АВВГ, ВВГ, ПВС, ШВВП, ПВ1, ПВЗ, СИП)
Провод</div>
</div>
</div>
</div>
<div id=""buMap"">
<div>
<div id=""mapCPanelwm"">
<div>
<div>
<div></div>
</div>
</div>
</div>
</div>
</div>";;г. Чернигов, ул. Кольцевая, 9;https://goo.gl/maps/9Hm7r1GUc9gmxQ9o7;;"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Цемент 400, 500
Пінопласт
Фарби
Цвяхи, метизи, болти та гайки
Сантехніка
Автозапчастини та автофарби
Автомасла в асортименті
Кабель (АВВГ, ВВГ, ПВС, ШВВП, ПВ1, ПВЗ, СИП)
Провод</div>
</div>
</div>
</div>
<div id=""buMap"">
<div>
<div id=""mapCPanelwm"">
<div>
<div>
<div></div>
</div>
</div>
</div>
</div>
</div>";;;;;;;;;;;;;;;;;;;
"""АВТОАЛЕКС"" (магазин)";;;14000, г. Чернигов, ул. Доценко, 11;https://goo.gl/maps/mWci4LBjmQWKYwE56;;Продажа в наличии и под заказ, автозапчасти к иномаркам. Детали двигателя, подвески, кузова для европейских и японских автомобилей.;;;;;;;;;;;;;;;;;;;
Травмпункт городской больницы № 2;;;14034, г. Чернигов, ул. 1-го Мая, 168;https://goo.gl/maps/f9WkM1uYm5kXFp9o7;_blank;;;;;;;;;;;;;;;;;;;;
Черниговская городская больница №1;;;http://14005, г. Чернигов, просп. Мира, 44;https://goo.gl/maps/FggqL6LaTB6g3iBw8;_blank;;;;;;;;;;;;;;;;;;;;
Поликлиника черниговской городской больницы №1;;;14005, г. Чернигов, просп. Мира, 44;https://goo.gl/maps/FggqL6LaTB6g3iBw8;_blank;;;;;;;;;;;;;;;;;;;;
Городская больница №2 (Больница);;https://24city.cn.ua/wp-content/uploads/2020/08/th_file_58be8486c89a1.jpg;14034, г. Чернигов, ул. 1-го Мая, 168;https://goo.gl/maps/f9WkM1uYm5kXFp9o7;_blank;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Вторая городская клиническая больница имеет в своем составе профильные отделения для лечения стационарных больных: центр сердечно-сосудистой хирургии, І-е, ІІ-е кардиологическое, гинекологическое отделение, I-е и II-е хирургические отделения,терапевтическое, травматологическое, артрологическое, неврологическое, реанимационное, урологическое, инфек­ционное, диагностическое отделения и ряд вспомогательных подразделений.
Важным в функциональном отношении является поликлиническое отделение с оказанием амбулаторно-поликлиничес­кой помощи населению города</div>
</div>
</div>
<div class=""text block""></div>";;;;;"<div id=""buAbout"">
<div class=""text block"">
<div class=""items"">
<div class=""item"">Ежегодное количество пролеченных больных в стационаре составляет 15-16 тыс., амбулаторных посещений в поликлинике - 435 тыс., 65 тыс. - вызовов на дом.
Одной из особенностей графика работы больницы является оказание ургентной хирургической помощи жителям Чернигова с кратностью четыре дня в неделю, а отделениями сердечно-сосудистой хирургии, урологии, гинекологии и инфекционного - населению города, области постоянно в течение года, Пострадавшим с политграмой 7 дней в неделю, круглосуточно.</div>
</div>
</div>
</div>
<div id=""buMap"">
<div>
<div id=""mapCPanelwm"">
<div>
<div>
<div></div>
</div>
</div>
</div>
</div>
</div>";;;;;;;;;;;;;;
Детская поликлиника №1 (Поликлиника);;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5c9b53f294e67.png;г. Чернигов, ул. Пирогова, 15;https://goo.gl/maps/9SCuEar2oJ56P52c9;;;;;;;;;;;;;;;;;;;;;
Дентал центр (Чернігівський міський стоматологічний центр);;;г. Чернигов, просп. Победы, 154;https://goo.gl/maps/PcYXjeBMytSdna286;;;;;;;;;;;;;;;;;;;;;
"Комунальне некомерційне підприємство ""Дитяча стоматологічна поліклініка"" Чернігівської міської ради (Поліклініка)";;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5cbd5a1035f92.jpg;г. Чернигов, ул. Кирпоноса, 20А;https://goo.gl/maps/NZaAcv15oe9VXK848;;;;;;;;;;;;;;;;;;;;;
Тойота Центр Чернігів АК «Сівер-Авто»;"ойота Центр Чернигов «Сивер-Авто» - единственный официальный дилер «Тойота» в Черниговском регионе.
Для Вас – весь модельный ряд автомобилей Тойота, а также полный спектр услуг, связанных с покупкой и техническим обслуживанием автомобиля:
Кредит, страхование, гарантийное и послегарантийное обслуживание, оригинальные запчасти и аксессуары, а также тест-драйв любой модели Тойота.
Предоставляемые услуги:
СТО Тойота Центр Чернигов:
Это – обслуживание, ремонт, шиномонтаж, покраска и мойка автомобиля
Это – заправка систем кондиционирования, установка противоугонных устройств, мультимедийных центров и систем спутниковой навигации GPS
Это – высококвалифицированные механики, самое современное оборудование и только оригинальные запчасти.";https://24city.cn.ua/wp-content/uploads/2020/10/95427902_2729490140617634_2726023435057627136_o.jpg;проспект Миру, 167, Чернігів, Чернігівська область, 14029;https://g.page/toyotachernihiv?share;_blank;"ойота Центр Чернигов «Сивер-Авто» - единственный официальный дилер «Тойота» в Черниговском регионе.
Для Вас – весь модельный ряд автомобилей Тойота, а также полный спектр услуг, связанных с покупкой и техническим обслуживанием автомобиля:
Кредит, страхование, гарантийное и послегарантийное обслуживание, оригинальные запчасти и аксессуары, а также тест-драйв любой модели Тойота.
Предоставляемые услуги:
СТО Тойота Центр Чернигов:
Это – обслуживание, ремонт, шиномонтаж, покраска и мойка автомобиля
Это – заправка систем кондиционирования, установка противоугонных устройств, мультимедийных центров и систем спутниковой навигации GPS
Это – высококвалифицированные механики, самое современное оборудование и только оригинальные запчасти.";;;;;;;;;;;;;;;;;;;
Ford Magr-avto;;https://24city.cn.ua/wp-content/uploads/2020/10/ford-logo-1976-1366x768-1.jpg;вулиця Незалежності, 9, Чернігів, Чернігівська область, 14000;https://goo.gl/maps/EpqwLR117mecVrtS7;_blank;;;;;;;;;;;;;;;;;;;;
МАГР-Авто;"Для клиентов МАГР Авто разработан полный комплекс услуг для покупки автомобиля в Чернигове, таких как:

-тест-драйв понравившегося автомобиля
-страхование автомобиля, КАСКО, ОСАГО
-зеленая карта
-автомобильное кредитование
-лизинг авто
-услуга Trade-in
-постановка автомобиля на учет в ГАИ.

-мойка
-проведение ТО
-диагностика
-сервис и ремонт автомобиля, ремонт двигателя
-шиномонтаж и балансировка колес
-современное оборудование
-большой выбор запчастей и аксессуаров оригинал и не оригинал
-продажа бу автомобилей разных марок и авто с пробегом";https://24city.cn.ua/wp-content/uploads/2020/10/th_file_51656de871e10.jpg;14026, г. Чернигов, ул. Независимости, 9;https://goo.gl/maps/7dQrM91LkRBm9iuo8;_blank;"Для клиентов МАГР Авто разработан полный комплекс услуг для покупки автомобиля в Чернигове, таких как:

-тест-драйв понравившегося автомобиля
-страхование автомобиля, КАСКО, ОСАГО
-зеленая карта
-автомобильное кредитование
-лизинг авто
-услуга Trade-in
-постановка автомобиля на учет в ГАИ.

-мойка
-проведение ТО
-диагностика
-сервис и ремонт автомобиля, ремонт двигателя
-шиномонтаж и балансировка колес
-современное оборудование
-большой выбор запчастей и аксессуаров оригинал и не оригинал
-продажа бу автомобилей разных марок и авто с пробегом";;;;;;;;;;;;;;;;;;;
Avtotsentr;;;-Б Украина 14021, Любецька вулиця, 151, Чернігів, Чернігівська область;https://goo.gl/maps/HLvi3vjRXGEXo18T6;_blank;;;;;;;;;;;;;;;;;;;;
ЧЕРНИГОВСКАЯ ОБЛАСТНАЯ БОЛЬНИЦА (Больница);;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_4a782fbf3201c.jpg;г. Чернигов, ул. Волковича, 25;https://goo.gl/maps/M7kwNrk9brzPxkUV6;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Чернігівська обласна лікарня – заклад охорони здоров'я, центр надання консультативної, лікувальної і профілактичної медичної допомоги населенню області і м. Чернігова.</div>
</div>
</div>
<div class=""text block""></div>";;;;;;"Приймальне відділення
тел. (046-22) 5-35-20
(046-22) 5-30-35

Поліклінічне відділення
тел. (046-22) 5-60-05

Відділення анестезіології з ліжками інтенсивної терапії
тел. (046-22) 5-32-39

Відділення інтенсивної терапії загального профілю
тел. (046-22) 5-31-69

Відділення загальної хірургії та патології підшлункової залози
тел. (046-22) 5-32-81

Відділення інвазивної та ендокринної хірургії
тел.(046-22)5-34-37

Нейрохірургічне відділення
тел. (046-22) 5-34-89

Травматологічно-ортопедичне відділення
тел. (046-22) 5-30-71

Урологічне відділення
тел. (046-22) 5-69-44

Відділення колопроктології
тел. (046-22) 5-34-24

Опікове відділення
тел. (046-22) 5-32-98

Відділення щелепно-лицевої хірургії
тел. (046-22) 5-68-69

Відділення мікрохірургії ока
тел. (046-22) 5-68-82

Отоларингологічне відділення
тел. (046-22)5-69-46

Відділення гастроентерології та гепатології
тел. (046-22) 5-64-43

Ендокринологічне відділення
тел. (046-22) 5-60-52

Неврологічне відділення для хворих з порушенням мозкового кровообігу
тел. (046-22) 5-32-59

Відділення нефрології та гемодіалізу
тел. (046-22) 5-32-68

Пульмонологічне відділення
тел. (046-22) 5-31-21

Ревматологічне відділення
тел. (046-22) 5-34-81

Фізіотерапевтичне відділення
тел. (046-22) 5-65-57

Відділення променевої діагностики
тел. (046-22) 5-30-65 – рентген-кабінет
(046-22) 5-34-09 – ком’ютерна томографія

Відділення функціональної діагностики
тел. (046-22) 5-30-
Ендокринологічне диспансерне відділення
тел. (046-22) 5-36-26

Клініко- діагностична лабораторія
тел. (046-22) 5-30-38

Кабінет ендоскопічних досліджень
тел. (046-22) 5-64-21";;;;;;;;;;;;;
Центральна районна лікарня (Лікарня);;https://24city.cn.ua/wp-content/uploads/2020/10/placeholder.png;г. Чернигов, ул. Шевченко, 114;https://goo.gl/maps/ACi67NpP9zYyqjHx6;;;;;;;;;;;;;;;;;;;;;
